code,trade_date,close,pred,hist_vol_60,bias_60,regime,cmf_20,boll_pctb_20,boll_width_20,obv,atr_pct_14,kdj_j,hist_vol_ratio,macd_hist_slope,obv_ma_ratio,main_flow_ratio,mfi_14,kdj_d,turn_rank_60,turn_ma_ratio,turn_zscore_20,turn_chg_5,breakout,pullback
603663,2026-07-22,42.06,0.25102636277511936,1.1369226744963277,-0.3562737545694521,-1,-0.02934319568387823,-0.22042222834535885,0.6979018196842878,1669401057.0,0.18938930778708743,-3.2322538685655378,1.3873191328709769,-1.561321316477879,-0.04307685947024842,-0.5299922874432942,20.289826930670117,9.424909725152729,0.0,0.0,0.0,-1.0,0,0
002138,2026-07-22,43.84,0.25039715433987003,0.8372686123431282,-0.1318697276703611,-1,-0.18304152966952056,0.015904248954934294,0.6227402351558681,1108653005.0,0.12451120959048623,-1.2323971934574587,1.1494925804888303,-0.13342914469925216,-0.09977346144558508,-0.5351087727521153,22.697445420911706,9.688659142388769,0.0,0.0,0.0,-1.0,0,0
600759,2026-07-22,2.6,0.2497236391179916,1.4305832739016386,-0.5493283259484047,-1,0.031864929589160915,-0.40491399629232216,0.5998991560686812,8516213240.0,0.19505494497992384,2.9081859417801326,1.2952361347093404,-0.16105905952954844,-0.11688199752717243,0.13154338673391494,38.683399512794374,22.64199252582899,0.0,0.0,0.0,-1.0,0,0
002636,2026-07-22,66.45,0.24893529682101412,1.1006185706108276,-0.06032027359749337,-1,-0.14234581155643578,-0.23133166279363407,0.4867727494213,2334320304.0,0.20420294528339367,9.138337107531235,1.3175911172187684,-1.5085553953572415,-0.036664638936620975,-0.40748338296604913,37.33679374133602,21.135443197174713,0.0,0.0,0.0,-1.0,0,0
002149,2026-07-22,32.11,0.2485334057571863,0.8919074962214864,-0.4520929730007691,-1,-0.1891085722730735,-0.06310272814124719,0.5489463863236825,3046297233.0,0.11422787738221482,2.363762845542439,1.0207797692841487,-0.3065992597749574,-0.02669347213982798,-0.09949071555017634,45.42689497472059,12.858196022438506,0.0,0.0,0.0,-1.0,0,0
603272,2026-07-22,13.99,0.24786047165516908,1.3590782968896933,-0.4463352857588121,-1,0.011056608811943714,-0.242537558257899,0.721976192468929,112419541.0,0.2857653425712207,1.4613735708472149,1.6768506805087835,-1.2739007916199543,-0.12987838049090883,-0.5733402721316492,46.309643341351396,51.96278210681282,0.0,0.0,0.0,-1.0,0,0
603283,2026-07-22,44.4,0.24733065944933755,0.8471108507794447,-0.17776026713202653,-1,-0.12486790180621549,-0.2005430470613809,0.49223696495505026,460435695.0,0.15461711711363474,-7.065398936604332,1.3503753266806526,-0.9852379150303028,-0.24055264580642377,-0.6869716940562134,44.431591404071966,16.283886591443558,0.0,0.0,0.0,-1.0,0,0
002691,2026-07-22,3.36,0.24708073112431228,1.1791693399426473,-0.594496741540611,-1,-0.03916007492285059,-0.5299681678574438,0.5243584848425078,394481500.0,0.16092687070040443,26.606258313706334,1.684392773740264,-0.2513617927800886,0.009499464389995715,0.05514278254893778,34.84645964011408,45.298940589040434,0.0,0.0,0.0,-1.0,0,0
002580,2026-07-22,15.26,0.2470464148839056,0.9109659150944239,-0.37130929168455706,-1,-0.17371085120012017,0.06457708601782179,0.5485811003665583,2665488096.0,0.09553454408660608,2.678000013744054,1.099702507927393,-0.07328313731902303,-0.05732426783200595,-0.1928897125674845,17.98515253567679,11.342869606114938,0.0,0.0,0.0,-1.0,0,0
600745,2026-07-22,16.28,0.24697477779444874,1.050072432188608,-0.5186707270343058,-1,-0.2682196666606728,-0.5418358465685151,0.45303272186854543,1061691953.0,0.10714285713627589,19.464916346483122,1.6349759005110902,-0.9521666918137248,-0.02362763587465433,-0.4653456459293236,30.817974219398067,47.22959087151991,0.0,0.0,0.0,-1.0,0,0
