code,period_end,avail_from,roe,net_profit_yoy,revenue_yoy,eps,eps_annualized,bvps,industry
874568,20240331,2024-04-01,,,,0.16,0.64,,
874396,20240331,2024-04-01,,,,0.15,0.6,,
874178,20240331,2024-04-01,,,,0.09,0.36,,
001388,20240331,2024-04-01,,,,0.05,0.2,,电网设备
920206,20240331,2024-04-01,,,,0.36,1.44,,化学制品
920180,20240331,2024-04-01,3.66,-29.4505166312,-16.1223199538,0.18,0.72,5.129661648073,医疗器械
920156,20240331,2024-04-01,,,,0.3,1.2,,自动化设备
874839,20240331,2024-04-01,,21.0290253291,10.1196398756,,,2.792588103036,
874709,20240331,2024-04-01,,,,0.18,0.72,,
874687,20240331,2024-04-01,2.88,,,0.24,0.96,8.631136116962,
874565,20240331,2024-04-01,,,,0.6,2.4,,
874456,20240331,2024-04-01,,,,0.06,0.24,,
874380,20240331,2024-04-01,,,,-0.12,-0.48,,
874175,20240331,2024-04-01,3.27,8.0941832122,5.7692535221,0.05,0.2,1.581268948117,
688333,20240331,2024-04-01,0.02,103.3602782739,59.1270668601,0.005,0.02,24.566362057847,通用设备
920178,20240331,2024-04-01,,,,0.22,0.88,,自动化设备
920065,20240331,2024-04-01,,,,0.37,1.48,,互联网电商
874627,20240331,2024-04-01,,,,0.71,2.84,,
874600,20240331,2024-04-01,,,,0.37,1.48,,
920117,20240331,2024-04-01,,,,0.18,0.72,,通用设备
874070,20240331,2024-04-01,,,,-0.95,-3.8,,
873902,20240331,2024-04-01,8.54,67.42,25.0916645534,0.3733,1.4932,4.567082247703,
873855,20240331,2024-04-01,,,,0.27,1.08,,
920076,20240331,2024-04-01,2.46,-30.6513815341,-5.568748304,0.25,1.0,10.194192138856,装修建材
874522,20240331,2024-04-01,,,,0.02,0.08,,
874433,20240331,2024-04-01,,,,0.25,1.0,,
874142,20240331,2024-04-01,,,,0.22,0.88,,
920181,20240331,2024-04-01,,,,0.48,1.92,,半导体
874588,20240331,2024-04-01,,,,,,,
920200,20240331,2024-04-01,,,,0.11,0.44,,风电设备
874378,20240331,2024-04-01,,,,0.49,1.96,,
874250,20240331,2024-04-01,,,,0.21,0.84,,
873827,20240331,2024-04-01,1.65,,,0.06,0.24,,
920177,20240331,2024-04-01,4.82,,,0.31,1.24,6.652094127931,通用设备
920020,20240331,2024-04-01,,,,0.1632,0.6528,,工程机械
920005,20240331,2024-04-01,3.29,49.5366040971,-1.8435543373,0.2,0.8,6.224502713,消费电子
874677,20240331,2024-04-01,,,,0.13,0.52,,
874611,20240331,2024-04-01,,,,-0.04,-0.16,,
874548,20240331,2024-04-01,,,,0.53,2.12,,
874360,20240331,2024-04-01,,-17.4149431352,-8.5938618345,0.36,1.44,,
873384,20240331,2024-04-01,6.76,-1.2426706884,27.6178848213,0.81,3.24,12.368126383118,
603400,20240331,2024-04-01,,,,0.51,2.04,,通用设备
301678,20240331,2024-04-01,,,,0.29,1.16,,半导体
920003,20240331,2024-04-01,,,,0.78,3.12,,工程咨询服务Ⅱ
874662,20240331,2024-04-01,,,,-0.05,-0.2,,
874549,20240331,2024-04-01,,,,0.28,1.12,,
874287,20240331,2024-04-01,6.62,,,0.31,1.24,4.908252282884,
920112,20240331,2024-04-01,6.23,247.8995656204,27.2191166099,0.4,1.6,6.597492148413,专用设备
874688,20240331,2024-04-01,5.1,,,0.3,1.2,6.131866848343,
600918,20240331,2024-04-01,0.82,-71.25,-28.8816104617,0.04,0.16,5.346372595303,证券Ⅱ
920161,20240331,2024-04-01,,-58.248652773,21.0539576707,0.06,0.24,,塑料
920100,20240331,2024-04-01,6.14,77.3672849306,37.6017257996,0.27,1.08,4.490570201076,电机Ⅱ
920037,20240331,2024-04-01,4.7,457.9051722945,37.7306031915,0.29,1.16,6.081885868915,电网设备
874127,20240331,2024-04-01,1.89,-24.94,-15.310624111,0.469,1.876,23.891672625895,
834948,20240331,2024-04-01,,,,-0.001,-0.004,,
920096,20240331,2024-04-01,,,,0.24,0.96,,自动化设备
920055,20240331,2024-04-01,,,,0.54,2.16,,汽车零部件
301575,20240331,2024-04-01,,,,,,,家居用品
874652,20240331,2024-04-01,4.27,,,0.1,0.4,,
874431,20240331,2024-04-01,9.39,11.2821879244,22.7706696085,0.51,2.04,5.706230921682,
833839,20240331,2024-04-01,,,,0.05,0.2,,
603382,20240331,2024-04-01,,,,0.17,0.68,,化学纤维
001233,20240331,2024-04-01,,15.6709899696,13.4647178782,,,,汽车零部件
874249,20240331,2024-04-01,,57.9173261525,31.6134505379,0.67,2.68,,
688775,20240331,2024-04-01,,,,0.5,2.0,,消费电子
872893,20240331,2024-04-01,,,,0.52,2.08,,
874603,20240331,2024-04-01,,,,0.88,3.52,,
834044,20240331,2024-04-01,4.77,2135.8883918059,40.1368949442,0.29,1.16,6.127255050663,
920035,20240331,2024-04-01,2.79,39.8346397724,17.7444518495,0.21,0.84,7.506635321733,自动化设备
920007,20240331,2024-04-01,12.92,178.6186011972,54.1909733038,0.92,3.68,7.59052373413,光伏设备
874023,20240331,2024-04-01,,,,0.09,0.36,,
873981,20240331,2024-04-01,,-2.6471670938,25.6843875591,0.08,0.32,,
688300,20240331,2024-04-01,3.76,79.94,39.4576334597,0.28,1.12,7.530313078003,非金属材料Ⅱ
920258,20240331,2024-04-01,,,,0.0569,0.2276,,
874637,20240331,2024-04-01,,,,0.27,1.08,,
874570,20240331,2024-04-01,,,,0.39,1.56,,
874500,20240331,2024-04-01,5.45,,,0.41,1.64,,
873124,20240331,2024-04-01,,,,0.0569,0.2276,,
603014,20240331,2024-04-01,2.01,,,0.28,1.12,,医疗器械
301595,20240331,2024-04-01,4.95,,,0.25,1.0,,家居用品
300022,20240331,2024-04-01,0.48,92.68,30.9052994995,0.0053,0.0212,1.099633574651,专业连锁Ⅱ
920027,20240331,2024-04-01,-0.85,57.1771093339,43.5334632057,-0.03,-0.12,3.66393726131,轨交设备Ⅱ
874553,20240331,2024-04-01,,,,0.26,1.04,,
874552,20240331,2024-04-01,2.35,,,0.6,2.4,25.610519573347,
874550,20240331,2024-04-01,3.45,,,0.26,1.04,,
833755,20240331,2024-04-01,2.36,1.4087837201,-1.0720834966,0.06,0.24,2.472668098413,
688755,20240331,2024-04-01,0.77,,,0.09,0.36,,专用设备
603380,20240331,2024-04-01,2.28,40.07,8.0513425386,0.19,0.76,8.605710368719,消费电子
603049,20240331,2024-04-01,,,,1.81,7.24,,汽车零部件
301636,20240331,2024-04-01,6.2,,,0.6,2.4,,光伏设备
301590,20240331,2024-04-01,8.99,,,2.28,9.12,,其他电源设备Ⅱ
874392,20240331,2024-04-01,9.82,14.36,9.1156301338,0.19,0.76,1.967795598197,
872924,20240331,2024-04-01,5.75,,,0.4,1.6,7.097531523078,
688428,20240331,2024-04-01,-2.01,-1047.8158854464,-12.4419996486,-0.08,-0.32,3.985328020899,化学制药
688235,20240331,2024-04-01,-7.75,22.0112974029,74.7768466427,-1.41,-5.64,17.75521429371,化学制药
920012,20240331,2024-04-01,,,,0.31,1.24,,半导体
920218,20240331,2024-04-01,,,,0.28,1.12,,包装印刷
920166,20240331,2024-04-01,,,,0.15,0.6,,医疗器械
920160,20240331,2024-04-01,,,,0.153,0.612,,专业服务
874222,20240331,2024-04-01,,,,0.2,0.8,,
874087,20240331,2024-04-01,2.37,1594.9849303609,58.3408332754,0.037,0.148,1.57955004792,
920121,20240331,2024-04-01,,,,0.54,2.16,,包装印刷
920028,20240331,2024-04-01,,,,0.14,0.56,,塑料
874475,20240331,2024-04-01,,,,0.54,2.16,,
873788,20240331,2024-04-01,0.38,-75.577737235,-62.8817497196,,,7.003258209662,
688981,20240331,2024-04-01,0.4,-68.0,23.3608367916,0.06,0.24,17.944794019462,半导体
688347,20240331,2024-04-01,0.51,-78.76,-24.6213020594,0.13,0.52,25.390329663601,半导体
601236,20240331,2024-04-01,0.51,-46.95,-20.886380239,0.03,0.12,4.958948167916,证券Ⅱ
001390,20240331,2024-04-01,,117.4552767645,71.0847230023,0.2277,0.9108,,纺织制造
920191,20240331,2024-04-01,2.29,-31.4093605431,-12.0039869568,0.0868,0.3472,3.866023048523,装修建材
603130,20240331,2024-04-01,1.79,25.69,20.4626269063,0.17,0.68,9.534369641857,纺织制造
920015,20240331,2024-04-01,8.68,246.5833051077,26.0859991323,0.6233,2.4932,7.50765750102,化学制品
873688,20240331,2024-04-01,1.33,35.7857713442,-6.4568436747,0.14,0.56,10.414217095165,
600425,20240331,2024-04-01,-0.225,-297.87,-20.7449512297,-0.009,-0.036,3.873935225128,水泥
002333,20240331,2024-04-01,1.02,-17.25,-15.3543467229,0.0289,0.1156,2.813756072173,装修建材
688303,20240331,2024-04-01,0.75,-88.64,-38.6035470715,0.15,0.6,20.621184088005,光伏设备
603322,20240331,2024-04-01,7.24,211.3051391382,81.1200125856,0.14,0.56,2.014846414643,通信服务
600507,20240331,2024-04-01,1.01,-27.95,-18.7209814885,0.042,0.168,3.996559708788,特钢Ⅱ
600061,20240331,2024-04-01,0.66,-59.62,-13.9,0.05,0.2,7.845732830259,多元金融
920101,20240331,2024-04-01,5.32,21.2942432472,6.6220109444,0.39,1.56,7.585477397492,工程机械
900948,20240331,2024-04-01,3.8,-44.07,-9.4086403284,0.62,2.48,16.52753765949,煤炭开采
900945,20240331,2024-04-01,26.98,334.51,33.4819008961,0.0159,0.0636,0.063935961085,航空机场
900943,20240331,2024-04-01,3.83,137.46,17.4218179467,0.096,0.384,2.547684816543,医药商业
900942,20240331,2024-04-01,0.57,-60.51,-0.4327539603,0.035,0.14,6.183274370196,旅游及景区
900936,20240331,2024-04-01,1.61,-65.36,-11.0028978025,0.12,0.48,7.740808723297,冶钢原料
900934,20240331,2024-04-01,1.13,34.56,6.7683226358,0.1775,0.71,15.78214452808,酒店餐饮
900929,20240331,2024-04-01,-1.07,-101.9978332448,84.4146621265,-0.0675,-0.27,6.389923059241,旅游及景区
900927,20240331,2024-04-01,0.4463,-96.31,-58.0169903961,0.0104,0.0416,2.337885728897,汽车服务
900924,20240331,2024-04-01,0.4778,-54.04,27.8896333661,0.0227,0.0908,4.658453574795,专用设备
900923,20240331,2024-04-01,1.08,-7.73,-6.9936289691,0.11,0.44,10.047269515135,一般零售
900922,20240331,2024-04-01,1.15,92.39,-13.9037423665,0.026,0.104,2.23048568261,综合Ⅱ
900921,20240331,2024-04-01,-9.7893,-23.1819122189,-13.6583144533,-0.0495,-0.198,0.479024798504,化学原料
900918,20240331,2024-04-01,0.36,118.4269708994,28.149555059,0.01,0.04,3.61677388755,玻璃玻纤
900917,20240331,2024-04-01,0.8087,21.37,-26.1311170999,0.0267,0.1068,3.273033959875,化学制药
900916,20240331,2024-04-01,1.3078,87.54,67.5625913814,0.0551,0.2204,4.254168412962,摩托车及其他
900914,20240331,2024-04-01,1.01,168.07,-1.933349327,0.071,0.284,7.080865689812,铁路公路
900911,20240331,2024-04-01,1.61,-83.38,-78.7320263914,0.2032,0.8128,12.739585738713,房地产开发
900910,20240331,2024-04-01,-0.11,76.1126216436,29.7150453771,-0.01,-0.04,5.635610444211,家电零部件Ⅱ
900903,20240331,2024-04-01,0.19,-81.5,-5.1034263581,0.01,0.04,4.016797737738,铁路公路
874191,20240331,2024-04-01,4.69,,,0.18,0.72,,
874150,20240331,2024-04-01,2.26,-35.8872308273,28.3665958171,0.05,0.2,,
874111,20240331,2024-04-01,3.36,,,0.3,1.2,,
874090,20240331,2024-04-01,-18.84,,,-0.3089,-1.2356,,
874044,20240331,2024-04-01,2.78,-11.01,-8.5577883127,0.1088,0.4352,3.978211600507,
