buy_date,sell_date,code,name,state,scale,buy_price,sell_price,hold_days,ret_pct,capital,pnl,reason
2026-03-09,2026-03-20,600960,渤海汽车,high_vol,1.0,5.65,5.11,10,-10.19,200000.0,-20377.0,stop_loss
2026-03-20,2026-03-23,600711,盛屯矿业,high_vol,1.0,11.85,10.7,2,-10.33,200000.0,-20669.0,stop_loss
2026-03-11,2026-03-24,605377,华旺科技,high_vol,1.0,9.68,9.5,10,-2.54,200000.0,-5088.0,expiry
2026-03-11,2026-03-24,002422,科伦药业,high_vol,1.0,33.51,32.97,10,-2.3,200000.0,-4596.0,expiry
2026-03-19,2026-04-01,000908,石药景峰,high_vol,1.0,6.14,7.9,10,27.77,200000.0,55534.0,expiry
2026-03-23,2026-04-03,000426,兴业银锡,high_vol,1.0,37.73,39.42,10,3.75,200000.0,7501.0,expiry
2026-03-24,2026-04-07,000603,盛达资源,high_vol,1.0,36.39,39.04,10,6.53,200000.0,13068.0,expiry
2026-03-25,2026-04-08,000426,兴业银锡,high_vol,1.0,40.5,43.56,10,6.81,200000.0,13611.0,expiry
2026-03-25,2026-04-08,600301,华锡有色,high_vol,1.0,48.27,52.53,10,8.07,200000.0,16132.0,expiry
2026-04-02,2026-04-16,603863,松炀资源,high_vol,1.0,15.64,18.95,10,20.32,200000.0,40637.0,expiry
2026-04-07,2026-04-20,002357,富临运业,high_vol,1.0,11.39,11.06,10,-3.57,200000.0,-7149.0,expiry
2026-04-08,2026-04-21,000818,航锦科技,high_vol,1.0,15.62,14.45,10,-8.14,200000.0,-16271.0,expiry
2026-04-09,2026-04-22,603605,XD珀莱雅,high_vol,1.0,60.81,61.17,10,-0.11,200000.0,-219.0,expiry
2026-04-09,2026-04-22,002084,海鸥住工,high_vol,1.0,3.83,3.73,10,-3.29,200000.0,-6581.0,expiry
2026-04-23,2026-04-28,001270,铖昌科技,range,1.0,156.28,140.5,4,-10.72,200000.0,-21449.0,stop_loss
2026-04-17,2026-04-30,002364,中恒电气,high_vol,1.0,42.93,40.69,10,-5.88,200000.0,-11758.0,expiry
2026-04-21,2026-05-07,002436,兴森科技,high_vol,1.0,26.27,32.39,10,22.44,200000.0,44873.0,expiry
2026-04-22,2026-05-08,002384,东山精密,range,1.0,172.06,211.39,10,22.0,200000.0,44003.0,expiry
2026-04-23,2026-05-11,605499,东鹏饮料,range,1.0,152.692,150.192,10,-2.32,200000.0,-4647.0,expiry
2026-04-29,2026-05-15,603499,翔港科技,range,1.0,14.336,15.414,10,6.77,200000.0,13539.0,expiry
2026-05-12,2026-05-18,002289,宇顺电子,range,1.0,46.67,42.65,5,-9.25,200000.0,-18502.0,stop_loss
2026-05-06,2026-05-19,605507,国邦医药,range,1.0,16.636,15.629,10,-6.71,200000.0,-13417.0,expiry
2026-05-11,2026-05-20,002289,宇顺电子,range,1.0,44.0,40.33,8,-8.98,200000.0,-17961.0,stop_loss
2026-05-08,2026-05-21,002289,宇顺电子,range,1.0,41.33,39.69,10,-4.64,200000.0,-9276.0,expiry
2026-05-22,2026-05-27,002342,巨力索具,range,1.0,12.634,11.554,4,-9.19,200000.0,-18373.0,stop_loss
2026-05-18,2026-05-29,601101,昊华能源,range,1.0,10.5,11.81,10,11.69,200000.0,23383.0,expiry
2026-05-19,2026-06-01,002763,汇洁股份,range,1.0,8.44,8.29,10,-2.46,200000.0,-4925.0,expiry
2026-05-20,2026-06-02,603116,红蜻蜓,range,1.0,7.56,7.18,10,-5.69,200000.0,-11378.0,expiry
2026-05-21,2026-06-03,000858,五粮液,range,1.0,85.51,82.35,10,-4.37,200000.0,-8735.0,expiry
2026-06-02,2026-06-09,002342,巨力索具,range,1.0,11.754,10.8,6,-8.76,200000.0,-17515.0,stop_loss
2026-05-28,2026-06-10,002342,巨力索具,range,1.0,11.544,10.26,10,-11.74,200000.0,-23485.0,stop_loss
2026-06-01,2026-06-10,002342,巨力索具,range,1.0,11.294,10.26,8,-9.79,200000.0,-19578.0,stop_loss
2026-06-03,2026-06-10,002342,巨力索具,range,1.0,11.28,10.26,6,-9.68,200000.0,-19354.0,stop_loss
2026-06-04,2026-06-17,600629,华建集团,range,1.0,13.289,14.081,10,5.22,200000.0,10441.0,expiry
2026-06-18,2026-06-23,002235,安妮股份,trend_down,1.0,8.71,8.01,3,-8.68,200000.0,-17356.0,stop_loss
2026-06-10,2026-06-24,001337,四川黄金,trend_down,1.0,39.99,39.68,10,-1.47,200000.0,-2935.0,expiry
2026-06-11,2026-06-25,001337,四川黄金,trend_down,1.0,39.53,38.15,10,-4.16,200000.0,-8328.0,expiry
2026-06-11,2026-06-25,603897,长城科技,trend_down,1.0,37.76,34.67,10,-8.82,200000.0,-17647.0,stop_loss
2026-06-11,2026-06-25,600487,亨通光电,trend_down,1.0,105.1,123.0,10,16.22,200000.0,32430.0,expiry
2026-06-26,2026-06-29,600791,京能置业,trend_down,1.0,10.71,9.71,2,-9.97,200000.0,-19939.0,stop_loss
