代码,买入日期,买入价,股数,卖出日期,卖出价,收益%,盈亏元,市况,退出原因,持有交易日,距60高回撤%,MA60乖离%,RSI
600435,2025-09-19,14.33,1600,2025-10-13,15.26,6.44,1477.0,牛市,到期,10,-22.3,-8.7,21.1
002174,2025-09-30,11.68,1400,2025-10-22,12.88,10.22,1671.0,牛市,到期,10,-36.1,-18.3,21.2
002235,2025-09-30,7.35,2400,2025-10-22,7.34,-0.1,-18.0,牛市,到期,10,-28.5,-11.3,23.1
000720,2025-10-10,3.37,5100,2025-10-24,3.45,2.54,436.0,牛市,到期,10,-19.3,-6.7,34.0
000989,2025-10-10,9.92,1700,2025-10-24,9.73,-1.89,-318.0,牛市,到期,10,-26.0,-12.2,23.2
000501,2025-10-13,9.71,2500,2025-10-27,9.85,1.45,351.0,牛市,到期,10,-25.3,-6.7,13.0
000610,2025-10-22,12.47,1400,2025-11-05,12.4,-0.55,-97.0,牛市,到期,10,-24.3,-6.2,24.7
002520,2025-10-22,5.98,3100,2025-11-05,6.03,0.9,167.0,牛市,到期,10,-22.3,-11.2,25.7
000034,2025-10-24,39.77,400,2025-11-07,43.83,10.21,1624.0,牛市,到期,10,-20.1,-7.4,30.8
001306,2025-10-24,91.99,200,2025-11-07,89.28,-2.95,-542.0,牛市,到期,10,-19.2,-6.1,32.2
000880,2025-10-27,31.1,800,2025-11-10,29.76,-4.3,-1069.0,牛市,到期,10,-24.9,-6.4,35.0
002335,2025-11-05,56.03,300,2025-11-19,53.07,-5.29,-889.0,牛市,到期,10,-29.8,-6.1,34.3
600400,2025-11-05,2.7,7100,2025-11-19,2.71,0.25,48.0,牛市,到期,10,-33.5,-0.7,31.3
002203,2025-11-07,11.04,1600,2025-11-21,11.5,4.16,735.0,牛市,到期,10,-20.7,-10.4,28.5
002393,2025-11-07,21.84,800,2025-11-21,20.14,-7.81,-1365.0,牛市,到期,10,-18.8,-8.7,25.8
000519,2025-11-10,18.49,1300,2025-11-24,19.46,5.28,1269.0,牛市,到期,10,-24.6,-5.9,25.2
000831,2025-11-19,48.65,300,2025-12-03,46.59,-4.22,-616.0,牛市,到期,10,-26.9,-8.1,25.1
603893,2025-11-19,175.03,100,2025-12-03,178.82,2.16,379.0,牛市,到期,10,-30.5,-12.3,35.0
002126,2025-11-21,33.34,500,2025-12-05,34.5,3.47,579.0,熊市,到期,10,-29.6,-11.1,28.2
003009,2025-11-21,50.49,400,2025-12-05,61.95,22.7,4584.0,熊市,到期,10,-27.1,-3.3,27.9
002097,2025-11-24,12.2,2100,2025-12-08,12.05,-1.18,-302.0,熊市,到期,10,-30.5,-11.6,25.2
000932,2025-12-03,5.62,2800,2025-12-17,5.44,-3.35,-528.0,牛市,到期,10,-19.1,-7.8,9.5
002335,2025-12-03,53.79,300,2025-12-17,55.35,2.91,470.0,牛市,到期,10,-32.6,-11.8,34.3
000009,2025-12-05,10.33,2000,2025-12-19,9.86,-4.56,-943.0,牛市,到期,10,-19.9,-6.5,28.3
000932,2025-12-05,5.68,3800,2025-12-19,5.54,-2.46,-531.0,牛市,到期,10,-18.4,-6.8,18.3
000048,2025-12-08,13.46,1900,2025-12-22,13.42,-0.26,-67.0,牛市,到期,10,-23.9,-17.0,19.4
002172,2025-12-17,3.99,3900,2025-12-31,3.94,-1.34,-208.0,熊市,到期,10,-23.8,-6.8,30.7
600556,2025-12-17,5.86,2700,2025-12-31,6.02,2.82,445.0,熊市,到期,10,-27.3,-5.1,32.3
000008,2025-12-19,2.93,7000,2026-01-06,3.12,6.53,1341.0,牛市,到期,10,-18.0,-2.3,30.6
000011,2025-12-19,9.24,2200,2026-01-06,9.0,-2.66,-541.0,牛市,到期,10,-21.2,-6.4,34.5
000559,2025-12-22,11.73,2200,2026-01-07,17.68,50.66,13078.0,牛市,到期,10,-22.9,-3.8,25.4
000685,2025-12-31,11.74,1300,2026-01-16,11.7,-0.4,-62.0,牛市,到期,10,-21.2,-5.3,24.1
000892,2025-12-31,7.04,2300,2026-01-16,7.87,11.81,1911.0,牛市,到期,10,-28.4,-1.8,34.8
000568,2026-01-06,118.2,100,2026-01-20,113.98,-3.57,-422.0,牛市,到期,10,-18.9,-8.8,32.8
002005,2026-01-06,2.54,11800,2026-01-20,3.1,22.23,6665.0,牛市,到期,10,-22.0,-4.3,34.7
002294,2026-01-07,51.81,700,2026-01-21,51.09,-1.4,-506.0,牛市,到期,10,-19.1,-10.8,34.5
